UF;MUNICIPIO;TIPO DE VEICULO;QUANTIDADE
AC;BRASILEIA;SIDE-CAR;0
AC;BRASILEIA;OUTROS;0
AC;BRASILEIA;TRATOR ESTEI;0
AC;BRASILEIA;TRATOR RODAS;0
AC;BRASILEIA;TRICICLO;2
AC;BRASILEIA;UTILITARIO;30
AC;BUJARI;AUTOMOVEL;647
AC;BUJARI;BONDE;0
AC;BUJARI;CAMINHAO;130
AC;BUJARI;CAMINHAO TRATOR;34
AC;BUJARI;CAMINHONETE;275
AC;BUJARI;CAMIONETA;16
AC;BUJARI;CHASSI PLATAF;0
AC;BUJARI;CICLOMOTOR;7
AC;BUJARI;MICRO-ONIBUS;6
AC;BUJARI;MOTOCICLETA;969
AC;BUJARI;MOTONETA;54
AC;BUJARI;ONIBUS;14
AC;BUJARI;QUADRICICLO;0
AC;BUJARI;REBOQUE;25
AC;BUJARI;SEMI-REBOQUE;46
AC;BUJARI;SIDE-CAR;0
AC;BUJARI;OUTROS;0
AC;BUJARI;TRATOR ESTEI;0
AC;BUJARI;TRATOR RODAS;0
AC;BUJARI;TRICICLO;1
AC;BUJARI;UTILITARIO;2
AC;CAPIXABA;AUTOMOVEL;626
AC;CAPIXABA;BONDE;0
AC;CAPIXABA;CAMINHAO;87
AC;CAPIXABA;CAMINHAO TRATOR;3
AC;CAPIXABA;CAMINHONETE;244
AC;CAPIXABA;CAMIONETA;30
AC;CAPIXABA;CHASSI PLATAF;0
AC;CAPIXABA;CICLOMOTOR;5
AC;CAPIXABA;MICRO-ONIBUS;3
AC;CAPIXABA;MOTOCICLETA;1088
AC;CAPIXABA;MOTONETA;125
AC;CAPIXABA;ONIBUS;17
AC;CAPIXABA;QUADRICICLO;0
AC;CAPIXABA;REBOQUE;26
AC;CAPIXABA;SEMI-REBOQUE;4
AC;CAPIXABA;SIDE-CAR;0
AC;CAPIXABA;OUTROS;0
AC;CAPIXABA;TRATOR ESTEI;0
AC;CAPIXABA;TRATOR RODAS;0
AC;CAPIXABA;TRICICLO;0
AC;CAPIXABA;UTILITARIO;2
AC;CRUZEIRO DO SUL;AUTOMOVEL;7099
AC;CRUZEIRO DO SUL;BONDE;0
AC;CRUZEIRO DO SUL;CAMINHAO;730
AC;CRUZEIRO DO SUL;CAMINHAO TRATOR;88
AC;CRUZEIRO DO SUL;CAMINHONETE;2897
AC;CRUZEIRO DO SUL;CAMIONETA;327
AC;CRUZEIRO DO SUL;CHASSI PLATAF;1
AC;CRUZEIRO DO SUL;CICLOMOTOR;32
AC;CRUZEIRO DO SUL;MICRO-ONIBUS;60
AC;CRUZEIRO DO SUL;MOTOCICLETA;15858
AC;CRUZEIRO DO SUL;MOTONETA;6821
AC;CRUZEIRO DO SUL;ONIBUS;83
AC;CRUZEIRO DO SUL;QUADRICICLO;0
AC;CRUZEIRO DO SUL;REBOQUE;46
AC;CRUZEIRO DO SUL;SEMI-REBOQUE;183
AC;CRUZEIRO DO SUL;SIDE-CAR;0
AC;CRUZEIRO DO SUL;OUTROS;1
AC;CRUZEIRO DO SUL;TRATOR ESTEI;0
AC;CRUZEIRO DO SUL;TRATOR RODAS;0
AC;CRUZEIRO DO SUL;TRICICLO;10
AC;CRUZEIRO DO SUL;UTILITARIO;116
AC;EPITACIOLANDIA;AUTOMOVEL;1819
AC;EPITACIOLANDIA;BONDE;0
AC;EPITACIOLANDIA;CAMINHAO;253
AC;EPITACIOLANDIA;CAMINHAO TRATOR;114
AC;EPITACIOLANDIA;CAMINHONETE;856
AC;EPITACIOLANDIA;CAMIONETA;85
AC;EPITACIOLANDIA;CHASSI PLATAF;0
AC;EPITACIOLANDIA;CICLOMOTOR;4
AC;EPITACIOLANDIA;MICRO-ONIBUS;8
AC;EPITACIOLANDIA;MOTOCICLETA;2498
AC;EPITACIOLANDIA;MOTONETA;740
AC;EPITACIOLANDIA;ONIBUS;16
AC;EPITACIOLANDIA;QUADRICICLO;0
AC;EPITACIOLANDIA;REBOQUE;102
AC;EPITACIOLANDIA;SEMI-REBOQUE;152
AC;EPITACIOLANDIA;SIDE-CAR;0
AC;EPITACIOLANDIA;OUTROS;0
AC;EPITACIOLANDIA;TRATOR ESTEI;0
AC;EPITACIOLANDIA;TRATOR RODAS;0
AC;EPITACIOLANDIA;TRICICLO;3
AC;EPITACIOLANDIA;UTILITARIO;16
AC;FEIJO;AUTOMOVEL;593
AC;FEIJO;BONDE;0
AC;FEIJO;CAMINHAO;117
AC;FEIJO;CAMINHAO TRATOR;5
AC;FEIJO;CAMINHONETE;347
AC;FEIJO;CAMIONETA;34
AC;FEIJO;CHASSI PLATAF;0
AC;FEIJO;CICLOMOTOR;33
AC;FEIJO;MICRO-ONIBUS;3
AC;FEIJO;MOTOCICLETA;2135
AC;FEIJO;MOTONETA;638
AC;FEIJO;ONIBUS;12
AC;FEIJO;QUADRICICLO;0
AC;FEIJO;REBOQUE;15
AC;FEIJO;SEMI-REBOQUE;9
AC;FEIJO;SIDE-CAR;0
AC;FEIJO;OUTROS;0
AC;FEIJO;TRATOR ESTEI;0
AC;FEIJO;TRATOR RODAS;0
AC;FEIJO;TRICICLO;4
AC;FEIJO;UTILITARIO;14
AC;JORDAO;AUTOMOVEL;10
AC;JORDAO;BONDE;0
AC;JORDAO;CAMINHAO;6
AC;JORDAO;CAMINHAO TRATOR;0
AC;JORDAO;CAMINHONETE;13
AC;JORDAO;CAMIONETA;1
AC;JORDAO;CHASSI PLATAF;0
AC;JORDAO;CICLOMOTOR;0
AC;JORDAO;MICRO-ONIBUS;0
AC;JORDAO;MOTOCICLETA;68
AC;JORDAO;MOTONETA;31
AC;JORDAO;ONIBUS;0
AC;JORDAO;QUADRICICLO;0
AC;JORDAO;REBOQUE;0
AC;JORDAO;SEMI-REBOQUE;0
AC;JORDAO;SIDE-CAR;0
AC;JORDAO;OUTROS;0
AC;JORDAO;TRATOR ESTEI;0
AC;JORDAO;TRATOR RODAS;0
AC;JORDAO;TRICICLO;0
AC;JORDAO;UTILITARIO;0
AC;MANCIO LIMA;AUTOMOVEL;653
AC;MANCIO LIMA;BONDE;0
AC;MANCIO LIMA;CAMINHAO;100
AC;MANCIO LIMA;CAMINHAO TRATOR;3
AC;MANCIO LIMA;CAMINHONETE;324
AC;MANCIO LIMA;CAMIONETA;28
AC;MANCIO LIMA;CHASSI PLATAF;0
AC;MANCIO LIMA;CICLOMOTOR;1
AC;MANCIO LIMA;MICRO-ONIBUS;4
AC;MANCIO LIMA;MOTOCICLETA;2140
AC;MANCIO LIMA;MOTONETA;533
AC;MANCIO LIMA;ONIBUS;16
AC;MANCIO LIMA;QUADRICICLO;0
AC;MANCIO LIMA;REBOQUE;1
AC;MANCIO LIMA;SEMI-REBOQUE;5
AC;MANCIO LIMA;SIDE-CAR;0
AC;MANCIO LIMA;OUTROS;0
AC;MANCIO LIMA;TRATOR ESTEI;0
AC;MANCIO LIMA;TRATOR RODAS;0
AC;MANCIO LIMA;TRICICLO;0
AC;MANCIO LIMA;UTILITARIO;6
AC;MANOEL URBANO;AUTOMOVEL;222
AC;MANOEL URBANO;BONDE;0
AC;MANOEL URBANO;CAMINHAO;57
AC;MANOEL URBANO;CAMINHAO TRATOR;5
AC;MANOEL URBANO;CAMINHONETE;151
AC;MANOEL URBANO;CAMIONETA;5
AC;MANOEL URBANO;CHASSI PLATAF;0
AC;MANOEL URBANO;CICLOMOTOR;2
AC;MANOEL URBANO;MICRO-ONIBUS;0
AC;MANOEL URBANO;MOTOCICLETA;580
AC;MANOEL URBANO;MOTONETA;112
AC;MANOEL URBANO;ONIBUS;5
AC;MANOEL URBANO;QUADRICICLO;0
AC;MANOEL URBANO;REBOQUE;25
AC;MANOEL URBANO;SEMI-REBOQUE;8
AC;MANOEL URBANO;SIDE-CAR;0
AC;MANOEL URBANO;OUTROS;0
AC;MANOEL URBANO;TRATOR ESTEI;0
AC;MANOEL URBANO;TRATOR RODAS;0
AC;MANOEL URBANO;TRICICLO;0
AC;MANOEL URBANO;UTILITARIO;2
AC;MARECHAL THAUMATURGO;AUTOMOVEL;9
AC;MARECHAL THAUMATURGO;BONDE;0
AC;MARECHAL THAUMATURGO;CAMINHAO;13
AC;MARECHAL THAUMATURGO;CAMINHAO TRATOR;0
AC;MARECHAL THAUMATURGO;CAMINHONETE;36
AC;MARECHAL THAUMATURGO;CAMIONETA;0
AC;MARECHAL THAUMATURGO;CHASSI PLATAF;0
AC;MARECHAL THAUMATURGO;CICLOMOTOR;0
AC;MARECHAL THAUMATURGO;MICRO-ONIBUS;0
AC;MARECHAL THAUMATURGO;MOTOCICLETA;264
AC;MARECHAL THAUMATURGO;MOTONETA;39
AC;MARECHAL THAUMATURGO;ONIBUS;9
AC;MARECHAL THAUMATURGO;QUADRICICLO;0
AC;MARECHAL THAUMATURGO;REBOQUE;0
AC;MARECHAL THAUMATURGO;SEMI-REBOQUE;0
AC;MARECHAL THAUMATURGO;SIDE-CAR;0
AC;MARECHAL THAUMATURGO;OUTROS;0
AC;MARECHAL THAUMATURGO;TRATOR ESTEI;0
AC;MARECHAL THAUMATURGO;TRATOR RODAS;0
AC;MARECHAL THAUMATURGO;TRICICLO;0
AC;MARECHAL THAUMATURGO;UTILITARIO;0
AC;PLACIDO DE CASTRO;AUTOMOVEL;1339
AC;PLACIDO DE CASTRO;BONDE;0
AC;PLACIDO DE CASTRO;CAMINHAO;155
AC;PLACIDO DE CASTRO;CAMINHAO TRATOR;17
AC;PLACIDO DE CASTRO;CAMINHONETE;540
AC;PLACIDO DE CASTRO;CAMIONETA;44
AC;PLACIDO DE CASTRO;CHASSI PLATAF;0
AC;PLACIDO DE CASTRO;CICLOMOTOR;7
AC;PLACIDO DE CASTRO;MICRO-ONIBUS;5
AC;PLACIDO DE CASTRO;MOTOCICLETA;2277
AC;PLACIDO DE CASTRO;MOTONETA;393
AC;PLACIDO DE CASTRO;ONIBUS;30
AC;PLACIDO DE CASTRO;QUADRICICLO;0
AC;PLACIDO DE CASTRO;REBOQUE;67
AC;PLACIDO DE CASTRO;SEMI-REBOQUE;17
AC;PLACIDO DE CASTRO;SIDE-CAR;3
AC;PLACIDO DE CASTRO;OUTROS;0
AC;PLACIDO DE CASTRO;TRATOR ESTEI;0
AC;PLACIDO DE CASTRO;TRATOR RODAS;0
AC;PLACIDO DE CASTRO;TRICICLO;6
AC;PLACIDO DE CASTRO;UTILITARIO;6
AC;PORTO ACRE;AUTOMOVEL;823
AC;PORTO ACRE;BONDE;0
AC;PORTO ACRE;CAMINHAO;172
AC;PORTO ACRE;CAMINHAO TRATOR;6
AC;PORTO ACRE;CAMINHONETE;422
AC;PORTO ACRE;CAMIONETA;41
AC;PORTO ACRE;CHASSI PLATAF;0
AC;PORTO ACRE;CICLOMOTOR;6
AC;PORTO ACRE;MICRO-ONIBUS;3
AC;PORTO ACRE;MOTOCICLETA;2098
AC;PORTO ACRE;MOTONETA;153
AC;PORTO ACRE;ONIBUS;47
AC;PORTO ACRE;QUADRICICLO;0
AC;PORTO ACRE;REBOQUE;34
AC;PORTO ACRE;SEMI-REBOQUE;8
AC;PORTO ACRE;SIDE-CAR;0
AC;PORTO ACRE;OUTROS;2
AC;PORTO ACRE;TRATOR ESTEI;0
AC;PORTO ACRE;TRATOR RODAS;0
AC;PORTO ACRE;TRICICLO;0
AC;PORTO ACRE;UTILITARIO;4
AC;PORTO WALTER;AUTOMOVEL;6
AC;PORTO WALTER;BONDE;0
AC;PORTO WALTER;CAMINHAO;9
AC;PORTO WALTER;CAMINHAO TRATOR;0
AC;PORTO WALTER;CAMINHONETE;30
AC;PORTO WALTER;CAMIONETA;0
AC;PORTO WALTER;CHASSI PLATAF;0
AC;PORTO WALTER;CICLOMOTOR;0
AC;PORTO WALTER;MICRO-ONIBUS;0
AC;PORTO WALTER;MOTOCICLETA;230
AC;PORTO WALTER;MOTONETA;52
AC;PORTO WALTER;ONIBUS;5
AC;PORTO WALTER;QUADRICICLO;0
AC;PORTO WALTER;REBOQUE;0
AC;PORTO WALTER;SEMI-REBOQUE;0
AC;PORTO WALTER;SIDE-CAR;0
AC;PORTO WALTER;OUTROS;0
AC;PORTO WALTER;TRATOR ESTEI;0
AC;PORTO WALTER;TRATOR RODAS;0
AC;PORTO WALTER;TRICICLO;0
AC;PORTO WALTER;UTILITARIO;1
AC;RIO BRANCO;AUTOMOVEL;71011
AC;RIO BRANCO;BONDE;0
AC;RIO BRANCO;CAMINHAO;4303
AC;RIO BRANCO;CAMINHAO TRATOR;516
AC;RIO BRANCO;CAMINHONETE;17987
AC;RIO BRANCO;CAMIONETA;3556
AC;RIO BRANCO;CHASSI PLATAF;8
AC;RIO BRANCO;CICLOMOTOR;481
AC;RIO BRANCO;MICRO-ONIBUS;236
AC;RIO BRANCO;MOTOCICLETA;73974
AC;RIO BRANCO;MOTONETA;13959
AC;RIO BRANCO;ONIBUS;859
AC;RIO BRANCO;QUADRICICLO;0
AC;RIO BRANCO;REBOQUE;2998
AC;RIO BRANCO;SEMI-REBOQUE;880
AC;RIO BRANCO;SIDE-CAR;55
AC;RIO BRANCO;OUTROS;25
AC;RIO BRANCO;TRATOR ESTEI;0
AC;RIO BRANCO;TRATOR RODAS;4
AC;RIO BRANCO;TRICICLO;130
AC;RIO BRANCO;UTILITARIO;1160
AC;RODRIGUES ALVES;AUTOMOVEL;200
AC;RODRIGUES ALVES;BONDE;0
AC;RODRIGUES ALVES;CAMINHAO;18
AC;RODRIGUES ALVES;CAMINHAO TRATOR;2
AC;RODRIGUES ALVES;CAMINHONETE;117
AC;RODRIGUES ALVES;CAMIONETA;2
AC;RODRIGUES ALVES;CHASSI PLATAF;0
AC;RODRIGUES ALVES;CICLOMOTOR;1
AC;RODRIGUES ALVES;MICRO-ONIBUS;1
AC;RODRIGUES ALVES;MOTOCICLETA;1008
AC;RODRIGUES ALVES;MOTONETA;283
AC;RODRIGUES ALVES;ONIBUS;9
AC;RODRIGUES ALVES;QUADRICICLO;0
AC;RODRIGUES ALVES;REBOQUE;0
AC;RODRIGUES ALVES;SEMI-REBOQUE;1
AC;RODRIGUES ALVES;SIDE-CAR;0
AC;RODRIGUES ALVES;OUTROS;0
AC;RODRIGUES ALVES;TRATOR ESTEI;0
AC;RODRIGUES ALVES;TRATOR RODAS;0
AC;RODRIGUES ALVES;TRICICLO;0
AC;RODRIGUES ALVES;UTILITARIO;2
AC;SANTA ROSA DO PURUS;AUTOMOVEL;17
AC;SANTA ROSA DO PURUS;BONDE;0
AC;SANTA ROSA DO PURUS;CAMINHAO;5
AC;SANTA ROSA DO PURUS;CAMINHAO TRATOR;1
AC;SANTA ROSA DO PURUS;CAMINHONETE;23
AC;SANTA ROSA DO PURUS;CAMIONETA;0
AC;SANTA ROSA DO PURUS;CHASSI PLATAF;0
AC;SANTA ROSA DO PURUS;CICLOMOTOR;0
AC;SANTA ROSA DO PURUS;MICRO-ONIBUS;0
AC;SANTA ROSA DO PURUS;MOTOCICLETA;122
AC;SANTA ROSA DO PURUS;MOTONETA;18
AC;SANTA ROSA DO PURUS;ONIBUS;3
AC;SANTA ROSA DO PURUS;QUADRICICLO;0
AC;SANTA ROSA DO PURUS;REBOQUE;3
AC;SANTA ROSA DO PURUS;SEMI-REBOQUE;0
AC;SANTA ROSA DO PURUS;SIDE-CAR;0
AC;SANTA ROSA DO PURUS;OUTROS;0
AC;SANTA ROSA DO PURUS;TRATOR ESTEI;0
AC;SANTA ROSA DO PURUS;TRATOR RODAS;0
AC;SANTA ROSA DO PURUS;TRICICLO;0
AC;SANTA ROSA DO PURUS;UTILITARIO;0
AC;SENA MADUREIRA;AUTOMOVEL;1533
AC;SENA MADUREIRA;BONDE;0
AC;SENA MADUREIRA;CAMINHAO;120
AC;SENA MADUREIRA;CAMINHAO TRATOR;9
AC;SENA MADUREIRA;CAMINHONETE;908
AC;SENA MADUREIRA;CAMIONETA;51
AC;SENA MADUREIRA;CHASSI PLATAF;0
AC;SENA MADUREIRA;CICLOMOTOR;21
AC;SENA MADUREIRA;MICRO-ONIBUS;4
AC;SENA MADUREIRA;MOTOCICLETA;4460
AC;SENA MADUREIRA;MOTONETA;1585
AC;SENA MADUREIRA;ONIBUS;10
AC;SENA MADUREIRA;QUADRICICLO;0
AC;SENA MADUREIRA;REBOQUE;65
AC;SENA MADUREIRA;SEMI-REBOQUE;12
AC;SENA MADUREIRA;SIDE-CAR;0
AC;SENA MADUREIRA;OUTROS;0
AC;SENA MADUREIRA;TRATOR ESTEI;0
AC;SENA MADUREIRA;TRATOR RODAS;0
AC;SENA MADUREIRA;TRICICLO;2
AC;SENA MADUREIRA;UTILITARIO;12
AC;SENADOR GUIOMARD;AUTOMOVEL;2183
AC;SENADOR GUIOMARD;BONDE;0
AC;SENADOR GUIOMARD;CAMINHAO;351
AC;SENADOR GUIOMARD;CAMINHAO TRATOR;65
AC;SENADOR GUIOMARD;CAMINHONETE;765
AC;SENADOR GUIOMARD;CAMIONETA;65
AC;SENADOR GUIOMARD;CHASSI PLATAF;0
AC;SENADOR GUIOMARD;CICLOMOTOR;17
AC;SENADOR GUIOMARD;MICRO-ONIBUS;8
AC;SENADOR GUIOMARD;MOTOCICLETA;2913
AC;SENADOR GUIOMARD;MOTONETA;440
AC;SENADOR GUIOMARD;ONIBUS;35
AC;SENADOR GUIOMARD;QUADRICICLO;0
AC;SENADOR GUIOMARD;REBOQUE;131
AC;SENADOR GUIOMARD;SEMI-REBOQUE;75
AC;SENADOR GUIOMARD;SIDE-CAR;1
AC;SENADOR GUIOMARD;OUTROS;0
AC;SENADOR GUIOMARD;TRATOR ESTEI;0
AC;SENADOR GUIOMARD;TRATOR RODAS;0
AC;SENADOR GUIOMARD;TRICICLO;3
AC;SENADOR GUIOMARD;UTILITARIO;14
AC;TARAUACA;AUTOMOVEL;606
AC;TARAUACA;BONDE;0
AC;TARAUACA;CAMINHAO;153
AC;TARAUACA;CAMINHAO TRATOR;17
AC;TARAUACA;CAMINHONETE;402
AC;TARAUACA;CAMIONETA;46
AC;TARAUACA;CHASSI PLATAF;0
AC;TARAUACA;CICLOMOTOR;6
AC;TARAUACA;MICRO-ONIBUS;21
AC;TARAUACA;MOTOCICLETA;2476
AC;TARAUACA;MOTONETA;1263
AC;TARAUACA;ONIBUS;23
AC;TARAUACA;QUADRICICLO;0
AC;TARAUACA;REBOQUE;20
AC;TARAUACA;SEMI-REBOQUE;19
AC;TARAUACA;SIDE-CAR;0
AC;TARAUACA;OUTROS;0
AC;TARAUACA;TRATOR ESTEI;0
AC;TARAUACA;TRATOR RODAS;0
AC;TARAUACA;TRICICLO;10
AC;TARAUACA;UTILITARIO;18
AC;XAPURI;AUTOMOVEL;843
AC;XAPURI;BONDE;0
AC;XAPURI;CAMINHAO;80
AC;XAPURI;CAMINHAO TRATOR;4
AC;XAPURI;CAMINHONETE;406
AC;XAPURI;CAMIONETA;24
AC;XAPURI;CHASSI PLATAF;1
AC;XAPURI;CICLOMOTOR;3
AC;XAPURI;MICRO-ONIBUS;4
AC;XAPURI;MOTOCICLETA;2669
AC;XAPURI;MOTONETA;310
AC;XAPURI;ONIBUS;7
AC;XAPURI;QUADRICICLO;0
AC;XAPURI;REBOQUE;45
AC;XAPURI;SEMI-REBOQUE;3
AC;XAPURI;SIDE-CAR;1
AC;XAPURI;OUTROS;0
AC;XAPURI;TRATOR ESTEI;0
AC;XAPURI;TRATOR RODAS;0
AC;XAPURI;TRICICLO;2
AC;XAPURI;UTILITARIO;11
AL;AGUA BRANCA;AUTOMOVEL;1053
AL;AGUA BRANCA;BONDE;0
AL;AGUA BRANCA;CAMINHAO;119
AL;AGUA BRANCA;CAMINHAO TRATOR;2
AL;AGUA BRANCA;CAMINHONETE;546
AL;AGUA BRANCA;CAMIONETA;41
AL;AGUA BRANCA;CHASSI PLATAF;0
AL;AGUA BRANCA;CICLOMOTOR;17
AL;AGUA BRANCA;MICRO-ONIBUS;92
AL;AGUA BRANCA;MOTOCICLETA;2351
AL;AGUA BRANCA;MOTONETA;141
AL;AGUA BRANCA;ONIBUS;31
AL;AGUA BRANCA;QUADRICICLO;0
AL;AGUA BRANCA;REBOQUE;24
AL;AGUA BRANCA;SEMI-REBOQUE;10
AL;AGUA BRANCA;SIDE-CAR;0
AL;AGUA BRANCA;OUTROS;0
AL;AGUA BRANCA;TRATOR ESTEI;0
AL;AGUA BRANCA;TRATOR RODAS;0
AL;AGUA BRANCA;TRICICLO;0
AL;AGUA BRANCA;UTILITARIO;4
AL;ANADIA;AUTOMOVEL;1107
AL;ANADIA;BONDE;0
AL;ANADIA;CAMINHAO;49
AL;ANADIA;CAMINHAO TRATOR;1
AL;ANADIA;CAMINHONETE;166
AL;ANADIA;CAMIONETA;96
AL;ANADIA;CHASSI PLATAF;0
AL;ANADIA;CICLOMOTOR;1
AL;ANADIA;MICRO-ONIBUS;35
AL;ANADIA;MOTOCICLETA;1189
AL;ANADIA;MOTONETA;193
AL;ANADIA;ONIBUS;49
AL;ANADIA;QUADRICICLO;0
AL;ANADIA;REBOQUE;53
AL;ANADIA;SEMI-REBOQUE;8
AL;ANADIA;SIDE-CAR;0
AL;ANADIA;OUTROS;0
AL;ANADIA;TRATOR ESTEI;0
AL;ANADIA;TRATOR RODAS;0
AL;ANADIA;TRICICLO;0
AL;ANADIA;UTILITARIO;8
AL;ARAPIRACA;AUTOMOVEL;36049
AL;ARAPIRACA;BONDE;0
AL;ARAPIRACA;CAMINHAO;3062
AL;ARAPIRACA;CAMINHAO TRATOR;491
AL;ARAPIRACA;CAMINHONETE;7344
AL;ARAPIRACA;CAMIONETA;2053
AL;ARAPIRACA;CHASSI PLATAF;1
AL;ARAPIRACA;CICLOMOTOR;1284
AL;ARAPIRACA;MICRO-ONIBUS;429
AL;ARAPIRACA;MOTOCICLETA;45586
AL;ARAPIRACA;MOTONETA;15322
AL;ARAPIRACA;ONIBUS;535
AL;ARAPIRACA;QUADRICICLO;0
AL;ARAPIRACA;REBOQUE;2128
AL;ARAPIRACA;SEMI-REBOQUE;931
AL;ARAPIRACA;SIDE-CAR;10
AL;ARAPIRACA;OUTROS;3
AL;ARAPIRACA;TRATOR ESTEI;0
AL;ARAPIRACA;TRATOR RODAS;0
AL;ARAPIRACA;TRICICLO;39
AL;ARAPIRACA;UTILITARIO;671
AL;ATALAIA;AUTOMOVEL;3775
AL;ATALAIA;BONDE;0
AL;ATALAIA;CAMINHAO;217
AL;ATALAIA;CAMINHAO TRATOR;13
AL;ATALAIA;CAMINHONETE;288
AL;ATALAIA;CAMIONETA;181
AL;ATALAIA;CHASSI PLATAF;0
AL;ATALAIA;CICLOMOTOR;69
AL;ATALAIA;MICRO-ONIBUS;43
AL;ATALAIA;MOTOCICLETA;1664
AL;ATALAIA;MOTONETA;144
AL;ATALAIA;ONIBUS;161
AL;ATALAIA;QUADRICICLO;0
AL;ATALAIA;REBOQUE;408
AL;ATALAIA;SEMI-REBOQUE;58
AL;ATALAIA;SIDE-CAR;0
AL;ATALAIA;OUTROS;0
AL;ATALAIA;TRATOR ESTEI;0
AL;ATALAIA;TRATOR RODAS;0
AL;ATALAIA;TRICICLO;2
AL;ATALAIA;UTILITARIO;24
AL;BARRA DE SANTO ANTONIO;AUTOMOVEL;985
AL;BARRA DE SANTO ANTONIO;BONDE;0
AL;BARRA DE SANTO ANTONIO;CAMINHAO;29
AL;BARRA DE SANTO ANTONIO;CAMINHAO TRATOR;3
AL;BARRA DE SANTO ANTONIO;CAMINHONETE;124
AL;BARRA DE SANTO ANTONIO;CAMIONETA;46
AL;BARRA DE SANTO ANTONIO;CHASSI PLATAF;0
AL;BARRA DE SANTO ANTONIO;CICLOMOTOR;175
AL;BARRA DE SANTO ANTONIO;MICRO-ONIBUS;6
AL;BARRA DE SANTO ANTONIO;MOTOCICLETA;832
AL;BARRA DE SANTO ANTONIO;MOTONETA;56
AL;BARRA DE SANTO ANTONIO;ONIBUS;28
AL;BARRA DE SANTO ANTONIO;QUADRICICLO;0
AL;BARRA DE SANTO ANTONIO;REBOQUE;68
AL;BARRA DE SANTO ANTONIO;SEMI-REBOQUE;15
AL;BARRA DE SANTO ANTONIO;SIDE-CAR;0
AL;BARRA DE SANTO ANTONIO;OUTROS;0
AL;BARRA DE SANTO ANTONIO;TRATOR ESTEI;0
AL;BARRA DE SANTO ANTONIO;TRATOR RODAS;0
AL;BARRA DE SANTO ANTONIO;TRICICLO;0
AL;BARRA DE SANTO ANTONIO;UTILITARIO;8
AL;BARRA DE SAO MIGUEL;AUTOMOVEL;868
AL;BARRA DE SAO MIGUEL;BONDE;0
AL;BARRA DE SAO MIGUEL;CAMINHAO;24
AL;BARRA DE SAO MIGUEL;CAMINHAO TRATOR;1
AL;BARRA DE SAO MIGUEL;CAMINHONETE;129
AL;BARRA DE SAO MIGUEL;CAMIONETA;47
AL;BARRA DE SAO MIGUEL;CHASSI PLATAF;0
AL;BARRA DE SAO MIGUEL;CICLOMOTOR;197
AL;BARRA DE SAO MIGUEL;MICRO-ONIBUS;3
